,name,V,P,Distance,countPeople,Price
228,2445034.5913682277,2.7,186.0,209269.0,0.0,1220000.0
229,2203367.9247015608,1.5,111.0,80000.0,1.0,1195000.0
230,1834701.2580348942,1.5,147.0,59355.0,0.0,1949000.0
231,8425034.591368228,3.5,277.0,275000.0,2.0,2150000.0
232,4757551.887052341,1.5,115.0,0.0,0.0,6190000.0
233,4107701.2580348942,2.0,218.0,0.0,0.0,4499000.0
234,2028367.924701561,1.8,180.0,230000.0,4.0,2110000.0
235,1905034.5913682275,2.4,201.0,220000.0,4.0,1290000.0
236,1426701.2580348942,3.5,217.0,200000.0,3.0,425000.0
237,2091701.2580348942,1.5,147.0,54000.0,1.0,1800000.0
238,1391700.924701561,2.0,103.0,213000.0,2.0,350000.0
239,5675034.591368228,1.5,125.0,15200.0,1.0,4200000.0
240,2740034.5913682277,2.0,224.0,25700.0,1.0,2395000.0
241,4312551.887052341,4.8,200.0,100000.0,1.0,5300000.0
242,7025034.258034895,6.4,410.0,0.0,0.0,9299999.0
243,1490034.5913682275,3.8,167.0,190000.0,4.0,195000.0
244,2768034.5913682277,0.0,88.0,5000.0,1.0,2650000.0
245,1381034.5913682277,1.8,132.0,190000.0,2.0,280000.0
246,2298367.9247015608,2.5,192.0,300000.0,4.0,70000.0
247,2741701.2580348942,3.6,284.0,70000.0,2.0,3250000.0
248,2368367.9247015608,1.5,147.0,0.0,0.0,1890000.0
249,1160201.2580348945,1.2,42.0,30000.0,3.0,100000.0
250,4071701.2580348942,0.0,266.0,40000.0,2.0,3500000.0
251,1805034.5913682275,1.5,145.0,71000.0,3.0,1300000.0
252,3028301.2580348942,2.0,199.0,0.0,0.0,2979900.0
253,3265034.5913682277,2.0,310.0,51000.0,0.0,4050000.0
254,2308367.9247015608,1.5,180.0,69000.0,1.0,1750000.0
255,2641034.5913682277,2.5,128.0,0.0,0.0,2299000.0
256,1458367.924701561,2.4,125.0,3000.0,4.0,550000.0
257,19005034.59136823,4.0,620.0,354.0,1.0,23700000.0
258,1386701.5913682277,3.5,218.0,211500.0,4.0,370001.0
259,3518367.9247015608,1.8,170.0,111000.0,2.0,1730000.0
260,1758367.924701561,1.5,150.0,64628.0,0.0,975000.0
261,3130034.5913682277,2.4,204.0,0.0,0.0,2995000.0
262,2773701.2580348942,0.0,513.0,99000.0,0.0,1796000.0
263,1769367.924701561,2.4,185.0,290000.0,3.0,950000.0
264,2885051.8870523414,1.6,121.0,8000.0,1.0,2445000.0
265,3074367.9247015608,0.0,160.0,0.0,0.0,2949000.0
266,1847551.8870523416,1.8,130.0,120000.0,4.0,370000.0
267,2203367.9247015608,2.2,190.0,111000.0,2.0,2090000.0
268,2391367.9247015608,1.5,112.0,17557.0,1.0,1600000.0
269,22608367.92470156,5.2,640.0,11541.0,0.0,25500000.0
270,1843367.924701561,2.2,175.0,142914.0,4.0,715000.0
271,1301701.2580348945,2.4,126.0,130000.0,4.0,270000.0
272,2378367.9247015608,2.0,220.0,60000.0,1.0,1600000.0
273,3306701.2580348942,0.0,340.0,50.0,0.0,2995000.0
274,1814701.2580348942,2.7,135.0,157000.0,0.0,969000.0
275,1805034.5913682275,1.8,149.0,121728.0,3.0,790000.0
276,1741701.2580348942,1.5,149.0,44386.0,1.0,1050000.0
277,2638367.5913682277,1.5,96.0,89.0,0.0,1690000.0
278,1850701.2580348942,1.4,95.0,161000.0,3.0,635000.0
279,9162551.887052342,7.0,303.0,1227.0,1.0,15000000.0
280,9575034.591368228,1.5,197.0,0.0,0.0,15500000.0
281,5738367.924701561,0.0,578.0,3600.0,0.0,5990000.0
282,1335034.5913682277,3.0,150.0,219900.0,4.0,450000.0
283,2740001.2580348942,1.5,181.0,0.0,0.0,3074900.0
284,1358367.924701561,1.6,87.0,140000.0,4.0,410000.0
285,1425034.5913682275,2.4,125.0,160000.0,3.0,350000.0
286,22608367.92470156,4.0,620.0,10.0,1.0,39000000.0
287,1391700.924701561,2.8,92.0,63524.0,2.0,499999.0
288,1301701.2580348945,2.7,143.0,250000.0,3.0,310000.0
289,19005034.59136823,4.0,720.0,9571.0,1.0,29990000.0
290,3183034.5913682277,3.5,450.0,150000.0,0.0,4524000.0
291,2737551.8870523414,2.0,177.0,141000.0,1.0,2150000.0
292,1490034.5913682275,2.5,91.0,100000.0,,950000.0
293,6067034.591368228,1.5,156.0,0.0,0.0,8376000.0
294,1355034.5913682277,1.6,115.0,317087.0,2.0,190000.0
295,1388034.5913682277,1.6,87.0,117200.0,2.0,390000.0
296,3368361.2580348942,2.0,217.0,0.0,0.0,3249990.0
297,2341701.2580348942,3.5,220.0,150000.0,3.0,1350000.0
298,7025034.258034895,5.7,395.0,69000.0,2.0,8450000.0
299,3130034.5913682277,2.0,136.0,0.0,0.0,3070000.0
300,1361701.2580348945,1.2,48.0,100000.0,1.0,600000.0
301,1196701.2580348945,1.1,65.0,98000.0,3.0,200000.0
302,1865034.5913682275,2.0,150.0,127000.0,1.0,1400000.0
303,1443367.924701561,1.4,95.0,221000.0,0.0,355000.0
304,1951367.924701561,3.6,272.0,263638.0,4.0,1299000.0
305,1348367.924701561,2.4,128.0,180000.0,4.0,400000.0
306,2625034.5913682277,1.5,197.0,0.0,0.0,2950000.0
307,2225701.2580348942,1.5,116.0,75000.0,1.0,2050000.0
308,1691701.2580348942,3.2,220.0,107964.0,4.0,850000.0
309,14734060.258034894,3.9,720.0,4835.0,1.0,31580000.0
310,4082551.8870523414,1.5,163.0,0.0,0.0,4840000.0
311,1470034.5913682275,1.5,108.0,200040.0,2.0,635000.0
312,2441701.2580348942,2.0,149.0,19500.0,1.0,1650000.0
313,1425034.5913682275,2.4,125.0,136000.0,3.0,600000.0
314,1808367.924701561,1.6,110.0,170000.0,3.0,900000.0
315,1378367.924701561,2.5,177.0,200000.0,4.0,160000.0
316,2331701.2580348942,1.5,138.0,3641.0,1.0,1970000.0
317,1549367.924701561,2.2,140.0,117000.0,2.0,873000.0
318,3807701.2580348942,2.0,197.0,0.0,0.0,4099000.0
319,1549367.924701561,2.0,87.0,157000.0,3.0,450000.0
320,2001701.2580348942,1.6,105.0,160000.0,4.0,790000.0
321,3691701.2580348942,2.0,252.0,86029.0,2.0,5200000.0
322,1253367.924701561,2.0,117.0,301860.0,4.0,300000.0
323,1955034.5913682275,1.6,109.0,15962.0,1.0,1350000.0
324,4127367.9247015608,2.0,159.0,0.0,0.0,5667000.0
325,4537551.887052341,1.8,252.0,64000.0,0.0,5750000.0
326,2741701.2580348942,2.4,177.0,168000.0,1.0,1650000.0
327,1623367.924701561,2.0,122.0,190141.0,3.0,495000.0
328,3691701.2580348942,3.4,295.0,92700.0,0.0,2550000.0
329,1480701.2580348942,0.7,61.0,158000.0,4.0,857000.0
330,5041701.258034894,0.0,653.0,0.0,0.0,6300000.0
331,3341034.5913682277,0.0,184.0,0.0,0.0,2948000.0
332,1365034.5913682277,2.4,81.0,70000.0,0.0,690000.0
333,2331701.2580348942,1.5,138.0,520.0,1.0,1700000.0
334,1808034.5913682275,1.5,110.0,25.0,0.0,1160000.0
335,1348367.924701561,2.4,136.0,224000.0,4.0,320000.0
336,1358367.924701561,1.6,98.0,130000.0,3.0,340000.0
337,1228367.924701561,1.1,41.0,70000.0,2.0,350000.0
338,2691701.2580348942,5.3,295.0,170000.0,4.0,2350000.0
339,1361701.2580348945,1.3,58.0,555.0,1.0,160000.0
340,9508034.591368228,5.9,450.0,24737.0,1.0,4199000.0
341,3708367.9247015608,2.1,122.0,11000.0,,3900000.0
342,3738367.9247015608,2.4,205.0,0.0,0.0,3945000.0
343,4704701.258034894,0.0,292.0,3000.0,0.0,4290000.0
344,1358367.924701561,2.2,120.0,220000.0,3.0,350000.0
345,2341701.2580348942,3.7,242.0,166000.0,4.0,2350000.0
346,1991701.2580348942,3.5,277.0,190000.0,3.0,1500000.0
347,3738367.9247015608,2.4,205.0,0.0,0.0,3945000.0
348,3341367.9247015608,1.9,177.0,0.0,0.0,5200000.0
349,3276334.5913682277,1.5,177.0,44000.0,0.0,1700000.0
350,2912551.8870523414,4.6,125.0,20000.0,0.0,2500000.0
351,4925034.591368227,1.5,154.0,200.0,1.0,6350000.0
352,7431701.258034895,3.0,410.0,52000.0,2.0,4050000.0
353,22241701.258034896,4.4,598.0,750.0,1.0,37500000.0
354,2091701.2580348942,1.5,112.0,90000.0,1.0,1150000.0
355,2527701.2580348942,2.5,128.0,0.0,0.0,2098000.0
356,2346367.9247015608,1.5,190.0,20.0,0.0,2199000.0
357,5591701.258034894,1.5,156.0,1200.0,0.0,6950000.0
358,1332367.5913682277,2.0,105.0,200000.0,3.0,84999.0
359,2831761.2580348942,1.5,150.0,0.0,0.0,2479990.0
360,1386701.5913682277,3.3,163.0,121234.0,3.0,465000.0
361,2346367.9247015608,1.6,122.0,16000.0,1.0,1515000.0
362,2740034.5913682277,2.0,224.0,72000.0,0.0,2500000.0
